id,price_clean,high_price,split,property_type,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,bathrooms,distance_cbd_km,amenity_count,has_pool,has_free_parking,has_air_conditioning,has_kitchen,has_washer,has_dryer
1221120766504066955,245.0,0,train,Entire rental unit,Melbourne,-37.8143692,144.953388,4,2.0,,1.0,0.8574245464766456,39,0,0,1,1,1,0
1221266282974591624,427.0,1,train,Entire home,Hobsons Bay,-37.87635,144.76334,8,4.0,6.0,2.5,18.877341360142626,63,0,1,1,1,1,1
1221287536471715093,558.0,1,train,Entire home,Hume,-37.53677,144.7338,16,5.0,8.0,3.0,36.80752766637527,73,0,1,1,1,1,1
1221293335562160164,139.5,0,train,Entire guesthouse,Hobsons Bay,-37.87843,144.76272,4,1.0,2.0,1.0,19.01418316686581,34,0,1,1,1,1,0
1221362925608011766,210.95,0,test,Entire rental unit,Stonnington,-37.83525,144.99479,4,1.0,2.0,1.0,3.68005319029828,40,1,0,1,1,1,1
1221460468932323601,484.14,1,test,Entire condo,Melbourne,-37.811603425781115,144.9609410762787,5,2.0,2.0,2.0,0.29198729669540385,49,1,1,1,1,1,1
1221473614271435515,212.5,0,train,Entire rental unit,Melbourne,-37.8093999,144.9606721,2,1.0,1.0,1.0,0.5134277849803505,11,0,0,0,1,0,0
1221571232053698252,343.0,0,test,Entire home,Moreland,-37.73862568556433,144.95024409145117,10,4.0,6.0,3.0,8.412995625661422,39,0,1,1,1,1,0
1221590287483265354,220.63,0,train,Entire home,Hobsons Bay,-37.8443882,144.8637905,2,1.0,1.0,1.0,9.36986168669503,34,0,0,1,1,1,0
1221590869419751457,305.0,0,train,Entire home,Stonnington,-37.86239953113756,145.02689515409068,5,3.0,3.0,1.5,7.799327451126522,51,0,1,1,1,1,0
1221628864762133994,228.24,0,train,Entire home,Casey,-38.08403,145.36092,9,4.0,5.0,2.0,46.05444881454772,55,0,1,1,1,1,1
1221634133996207035,250.05,0,test,Entire home,Knox,-37.89363,145.2486,6,3.0,4.0,2.0,26.598959128197727,32,0,1,1,1,1,0
1221944169557483562,455.0,1,test,Entire townhouse,Port Phillip,-37.86637863655712,145.00453089170858,6,3.0,6.0,2.5,6.90495794748233,50,0,1,1,1,1,1
1222018526145016472,316.0,0,train,Entire townhouse,Port Phillip,-37.8655502486318,145.00249945319592,4,2.0,5.0,1.0,6.733475570568444,50,0,1,1,1,1,1
1222028914575821291,191.5,0,train,Entire rental unit,Melbourne,-37.8209722,144.9532542,5,2.0,2.0,1.0,1.1916298089052375,39,1,0,1,1,1,1
1222090880021353302,648.0,1,train,Entire home,Moonee Valley,-37.7744739,144.904178,8,4.0,4.0,2.5,6.762638906277721,57,0,1,1,1,1,1
1222108661622873296,303.49,0,train,Entire rental unit,Melbourne,-37.80925663691295,144.95900807976992,4,1.0,,1.0,0.602052120256843,54,1,0,1,1,1,1
1222337388053909952,214.33,0,train,Entire rental unit,Melbourne,-37.83056,144.96661,2,1.0,1.0,1.0,1.910902879053765,37,1,1,1,1,1,0
1222404032294120891,1153.0,1,train,Entire home,Maribyrnong,-37.79454645985734,144.9089890345931,4,2.0,2.0,1.0,5.204732213130241,8,0,1,1,1,1,0
1222570045513826771,228.5,0,train,Entire rental unit,Melbourne,-37.81806856177782,144.98112302273512,2,1.0,1.0,1.0,1.6593296077297843,29,1,0,1,1,1,0
1222708153512972354,225.5,0,test,Entire rental unit,Port Phillip,-37.85791582817989,144.98987339282357,2,1.0,,1.0,5.459892146968397,35,0,1,1,1,1,1
1222780812683640756,194.5,0,train,Entire rental unit,Port Phillip,-37.85809436031565,144.99200199022184,2,1.0,1.0,1.0,5.56061315204097,34,0,0,1,1,1,1
1222786093704259899,456.8,1,train,Entire home,Cardinia,-38.07851,145.49164,8,4.0,6.0,2.5,54.914990088298985,7,0,1,1,1,1,0
1222819702205871882,454.57,1,train,Entire home,Cardinia,-38.07935,145.49244,7,4.0,6.0,2.5,55.02408673256363,5,0,1,0,1,1,0
1222976587506699562,85.59,0,train,Entire guesthouse,Wyndham,-37.8718901,144.6786985,4,1.0,3.0,1.0,25.80082324428371,11,0,1,1,1,1,0
1222992896783193629,517.0,1,train,Entire rental unit,Melbourne,-37.82434,144.96385,8,3.0,4.0,2.0,1.1960508665338907,49,1,0,1,1,1,1
1223565995166094011,271.0,0,train,Entire rental unit,Yarra,-37.80789,144.98136,2,1.0,1.0,1.0,1.725199345516427,41,0,1,1,1,1,0
1223576689108187521,236.5,0,train,Entire rental unit,Maribyrnong,-37.7707063,144.8823484,2,1.0,1.0,1.0,8.549719676384356,47,0,1,1,1,1,1
1223835981660095144,363.5,0,train,Entire home,Casey,-38.12795,145.30184,6,4.0,4.0,3.0,45.86364424129776,29,0,1,1,1,1,1
1224027119656366886,2364.0,1,train,Entire guesthouse,Manningham,-37.74754,145.18867,16,4.0,9.0,3.5,21.1412290278332,62,1,1,1,1,1,1
1224140311599413002,104.14,0,test,Entire guesthouse,Brimbank,-37.76178,144.77303,3,2.0,2.0,1.0,17.668573181972604,33,0,1,1,1,1,0
1224156622961323831,475.0,1,train,Entire rental unit,Melbourne,-37.8252355,144.9613893,6,3.0,3.0,2.0,1.3025071111500226,49,1,1,1,1,1,1
1224258619898876591,267.0,0,train,Entire rental unit,Yarra,-37.78863,144.97627,2,1.0,1.0,1.0,3.008005873993493,38,0,0,0,1,1,1
1224317779161172302,573.07,1,train,Entire rental unit,Stonnington,-37.8364241,144.9958184,3,2.0,2.0,2.0,3.8339640421114813,63,1,0,1,1,1,1
1224326033897155606,144.5,0,test,Entire rental unit,Stonnington,-37.87288,145.0381,3,2.0,2.0,1.0,9.317819396589673,43,0,1,0,1,1,0
1224333459102023461,263.4,0,train,Entire rental unit,Melbourne,-37.78021739645733,144.9393194541335,4,2.0,2.0,1.0,4.259662454384708,44,1,1,1,1,1,0
1224336816773519877,214.5,0,test,Entire rental unit,Melbourne,-37.8108743,144.9523646,4,2.0,2.0,2.0,0.990576624170471,42,0,1,1,1,1,1
1224382796005842021,374.0,0,train,Entire rental unit,Melbourne,-37.81367,144.95343,2,1.0,1.0,1.0,0.8494980566385595,43,1,0,1,1,1,1
1224425530781863045,123.67,0,test,Entire rental unit,Boroondara,-37.826827,145.0347667,2,1.0,1.0,1.0,6.464543917772027,22,0,0,1,1,0,0
1224544540770718434,214.5,0,train,Entire rental unit,Melbourne,-37.8143692,144.953388,6,2.0,3.0,1.0,0.8574245464766456,75,1,1,1,1,1,1
1224933026969013896,151.25,0,train,Entire rental unit,Stonnington,-37.83598,144.99686,2,1.0,1.0,1.0,3.8710840242644253,43,1,0,0,1,1,1
1225057403830482091,160.0,0,train,Entire guest suite,Glen Eira,-37.9132486,145.0765626,2,1.0,1.0,1.0,14.899185517456193,37,0,1,0,1,0,0
1225092566961812667,115.27,0,train,Entire condo,Melbourne,-37.80644870847878,144.96207166137694,4,1.0,2.0,1.0,0.8003035507694162,55,0,0,1,1,1,1
1225165353314734877,236.5,0,train,Entire home,Moreland,-37.7285294,144.9259805,4,2.0,3.0,1.0,10.006283738641873,22,0,1,1,1,1,1
1225171504849890252,243.0,0,train,Entire home,Whittlesea,-37.67801,145.0293,6,3.0,3.0,1.0,16.161512642170933,9,0,1,1,1,1,0
1225566017111219108,245.0,0,train,Entire cottage,Frankston,-38.14400351531179,145.1296731372152,2,1.0,1.0,1.0,39.53385670337045,45,0,1,0,1,0,0
1225601213196240994,568.87,1,test,Entire home,Moreland,-37.774926159716586,144.93976369895617,10,5.0,6.0,3.0,4.764195102781631,46,0,1,1,1,1,1
