embedded_feature,embedded_score,filter_feature,filter_score
bedrooms,0.7806129194263287,bedrooms,0.14263396536152606
distance_cbd_km,0.08048495769656712,accommodates,0.12770014184100087
bathrooms,0.0596859082507104,bathrooms,0.1070992188455977
