,accommodates,bedrooms,bathrooms,distance_cbd_km,amenity_count,high_price
accommodates,1.0,0.4033736080560183,0.25737981886463884,0.052714458161615504,0.031952118914213776,0.10675121217441985
bedrooms,0.4033736080560183,1.0,0.23555565389134298,0.08680483906685457,0.012064297682902313,0.12635873695047845
bathrooms,0.25737981886463884,0.23555565389134298,1.0,0.052292154758953165,0.014591689740114756,0.10605278451072522
distance_cbd_km,0.052714458161615504,0.08680483906685457,0.052292154758953165,1.0,0.006373117671155712,0.01341056142072962
amenity_count,0.031952118914213776,0.012064297682902313,0.014591689740114756,0.006373117671155712,1.0,0.010541700132596907
high_price,0.10675121217441985,0.12635873695047845,0.10605278451072522,0.01341056142072962,0.010541700132596907,1.0
