,accommodates,bedrooms,bathrooms,distance_cbd_km,amenity_count,high_price
accommodates,1.0,0.38516293762060416,0.21764770251898663,0.035765965391976864,0.021692974602485184,0.11233177462128686
bedrooms,0.38516293762060416,1.0,0.2626938560411569,0.07343697563626399,0.01021914736398809,0.19112906906297375
bathrooms,0.21764770251898663,0.2626938560411569,1.0,0.03967165537875063,0.011077988044435834,0.1334762908161436
distance_cbd_km,0.035765965391976864,0.07343697563626399,0.03967165537875063,1.0,0.00396217291409871,0.012349873727023243
amenity_count,0.021692974602485184,0.01021914736398809,0.011077988044435834,0.00396217291409871,1.0,0.009716397414874222
high_price,0.11233177462128686,0.19112906906297375,0.1334762908161436,0.012349873727023243,0.009716397414874222,1.0
