model,feature_set,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score
DecisionTree,size_only,5,15,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7555177575266662,0.01052942717232154,4,0.7577750132962701,0.0023219846844912298
DecisionTree,size_only,5,15,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7555177575266662,0.01052942717232154,4,0.7577750132962701,0.0023219846844912298
DecisionTree,size_only,5,30,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.7559937948620752,0.009884107581144653,1,0.7565688519879296,0.0026583359785836867
DecisionTree,size_only,5,30,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.7559937948620752,0.009884107581144653,1,0.7565688519879296,0.0026583359785836867
DecisionTree,size_only,5,30,30,"{'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.7559937948620752,0.009884107581144653,1,0.7565688519879296,0.0026583359785836867
DecisionTree,size_only,8,1,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7431608181257839,0.005423645174407517,41,0.7625429638851731,0.003777921682752066
DecisionTree,size_only,8,1,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7427891078922004,0.0066013229915918,42,0.7612110413053178,0.0033954984916613816
DecisionTree,size_only,8,1,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.743457549209342,0.007120203256035376,40,0.758860435779997,0.0035808876936141974
DecisionTree,size_only,8,5,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.7459569279548011,0.007938542304530314,37,0.7587879514693204,0.0032988817293232602
DecisionTree,size_only,8,5,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.7459569279548011,0.007938542304530314,37,0.7587879514693204,0.0032988817293232602
DecisionTree,size_only,8,5,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 30}",0.7458443338176138,0.0068376413677240675,39,0.7573174430879603,0.0035434066652905664
DecisionTree,size_only,8,15,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 15, 'model__min_samples_split': 2}",0.7462215956104445,0.004689449278444435,28,0.755786631882329,0.0032960470259007085
DecisionTree,size_only,8,15,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 15, 'model__min_samples_split': 10}",0.7462215956104445,0.004689449278444435,28,0.755786631882329,0.0032960470259007085
DecisionTree,size_only,8,15,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 15, 'model__min_samples_split': 30}",0.7462215956104445,0.004689449278444435,28,0.755786631882329,0.0032960470259007085
DecisionTree,size_only,8,30,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.748270353906322,0.006892751532649386,25,0.7544425947152853,0.0037181224738202577
DecisionTree,size_only,8,30,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.748270353906322,0.006892751532649386,25,0.7544425947152853,0.0037181224738202577
DecisionTree,size_only,8,30,30,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.748270353906322,0.006892751532649386,25,0.7544425947152853,0.0037181224738202577
