predictor,representation,n,pearson_with_high_price,spearman_with_high_price,analysis_scope
latitude,before: raw coordinate,14472,-0.02339528144156805,-0.04461968335536101,"All eligible rows; exploratory association only, not model selection."
longitude,before: raw coordinate,14472,0.10111593813898967,0.08737650251182019,"All eligible rows; exploratory association only, not model selection."
distance_cbd_km,after: derived CBD distance,14472,0.15177248250799574,0.15840161043183126,"All eligible rows; exploratory association only, not model selection."
