,accommodates,bedrooms,bathrooms,distance_cbd_km,amenity_count,high_price
accommodates,1.0,0.8777743557429214,0.6677931209233454,0.23165085674092772,0.22254208965361114,0.4725567281978057
bedrooms,0.8777743557429214,1.0,0.7302202983868715,0.2950630834513255,0.15383013182210192,0.5178914187083229
bathrooms,0.6677931209233454,0.7302202983868715,1.0,0.17599720993337142,0.12870673950525344,0.45450479247912934
distance_cbd_km,0.23165085674092772,0.2950630834513255,0.17599720993337142,1.0,0.028156932700747154,0.1517724825079958
amenity_count,0.22254208965361114,0.15383013182210192,0.12870673950525344,0.028156932700747154,1.0,0.09330425734023802
high_price,0.4725567281978057,0.5178914187083229,0.45450479247912934,0.1517724825079958,0.09330425734023802,1.0
