model,size_only_macro_f1,full_macro_f1,absolute_macro_f1_change,size_only_accuracy,full_accuracy,absolute_accuracy_change,size_only_roc_auc,full_roc_auc,absolute_roc_auc_change
KNN,0.7436451919947266,0.741686824626538,-0.0019583673681885516,0.8210708117443869,0.8241796200345423,0.0031088082901553626,0.7959449778725591,0.8272236869227971,0.031278709050237996
DecisionTree,0.7543705254223244,0.7596395885249476,0.005269063102623206,0.8227979274611399,0.8317789291882556,0.00898100172711569,0.827198556563032,0.8380806385528985,0.01088208198986651
