var_a,var_b,n,pearson,spearman,mutual_information,normalised_mutual_information,implementation_note,predictor,abs_pearson,abs_spearman
accommodates,high_price,14472,0.4725567281978057,0.45178474972867505,0.10675121217441985,0.11233177462128686,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,accommodates,0.4725567281978057,0.45178474972867505
bedrooms,high_price,14102,0.5178914187083232,0.4969789669334573,0.12635873695047845,0.19112906906297375,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,bedrooms,0.5178914187083232,0.4969789669334573
bathrooms,high_price,14471,0.45450479247912934,0.45233296868649586,0.10605278451072522,0.1334762908161436,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,bathrooms,0.45450479247912934,0.45233296868649586
distance_cbd_km,high_price,14472,0.15177248250799577,0.15840161043183126,0.01341056142072962,0.012349873727023243,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,distance_cbd_km,0.15177248250799577,0.15840161043183126
amenity_count,high_price,14472,0.09330425734023802,0.10665174613164426,0.010541700132596907,0.009716397414874222,Pearson/Spearman on numeric values; MI/NMI on 5-quantile discretisation for numeric variables; high_price left binary.,amenity_count,0.09330425734023802,0.10665174613164426
