,accommodates,bedrooms,bathrooms,distance_cbd_km,amenity_count,high_price
accommodates,1.0,0.8831909426863296,0.6503227259129776,0.14860519880050152,0.23688508804051828,0.45178474972867505
bedrooms,0.8831909426863296,1.0,0.6962536775618227,0.24595206560949698,0.1798630109655306,0.4969789669334573
bathrooms,0.6503227259129776,0.6962536775618227,1.0,0.18418760829292513,0.15376953966028017,0.45233296868649586
distance_cbd_km,0.14860519880050152,0.24595206560949698,0.18418760829292513,1.0,0.005708496177951718,0.15840161043183126
amenity_count,0.23688508804051828,0.1798630109655306,0.15376953966028017,0.005708496177951718,1.0,0.10665174613164426
high_price,0.45178474972867505,0.4969789669334573,0.45233296868649586,0.15840161043183126,0.10665174613164426,1.0
